episode:1,Updates:1/50,Timesteps:400/10000,FPS:18.0,avg_sp:-8.330275229357799,value_loss:0.5764110426108042,policy_loss:-0.045611028621594114,dist_entropy:1.3765372276306151,actor_grad_norm:2.301713466644287,critic_grad_norm:7.211615085601807,ratio:0.9992332458496094,average_step_rewards:-6.382500171661377
episode:18,Updates:18/50,Timesteps:3800/10000,FPS:10.0,avg_sp:-2.47,value_loss:0.02131375906368097,policy_loss:-0.03600623483459155,dist_entropy:0.5082446753978729,actor_grad_norm:0.7681394219398499,critic_grad_norm:0.8841992616653442,ratio:0.9831726551055908,average_step_rewards:-1.0449999570846558
episode:19,Updates:19/50,Timesteps:4000/10000,FPS:10.0,avg_sp:-2.49,value_loss:0.03637459203600883,policy_loss:-0.08260690371195475,dist_entropy:0.42081168095270793,actor_grad_norm:0.9586575627326965,critic_grad_norm:0.5792942643165588,ratio:1.0115160942077637,average_step_rewards:-1.2024999856948853
episode:20,Updates:20/50,Timesteps:4200/10000,FPS:10.0,avg_sp:-2.79,value_loss:0.027188138167063395,policy_loss:0.12109567075967789,dist_entropy:0.393918381134669,actor_grad_norm:0.7688161730766296,critic_grad_norm:0.66363525390625,ratio:0.9881130456924438,average_step_rewards:-1.649999976158142
episode:21,Updates:21/50,Timesteps:4400/10000,FPS:10.0,avg_sp:-2.58,value_loss:0.21771614452203114,policy_loss:0.03484651446342468,dist_entropy:0.4446738084157308,actor_grad_norm:1.5080397129058838,critic_grad_norm:1.7366176843643188,ratio:1.0039178133010864,average_step_rewards:-1.2350000143051147
episode:22,Updates:22/50,Timesteps:4600/10000,FPS:10.0,avg_sp:-2.42,value_loss:0.03539194203913212,policy_loss:0.021113244940837224,dist_entropy:0.38960562547047933,actor_grad_norm:0.7227030992507935,critic_grad_norm:1.3010889291763306,ratio:0.9958481192588806,average_step_rewards:-1.149999976158142
episode:23,Updates:23/50,Timesteps:4800/10000,FPS:10.0,avg_sp:-2.41,value_loss:0.031059275070826214,policy_loss:-0.004065066839878758,dist_entropy:0.37641891837120056,actor_grad_norm:0.8975418210029602,critic_grad_norm:0.6865928769111633,ratio:0.9593010544776917,average_step_rewards:-1.2725000381469727
episode:24,Updates:24/50,Timesteps:5000/10000,FPS:10.0,avg_sp:-2.38,value_loss:0.11413520326217015,policy_loss:0.04510423019528389,dist_entropy:0.31808226903279624,actor_grad_norm:0.5265953540802002,critic_grad_norm:1.1746453046798706,ratio:1.017685055732727,average_step_rewards:-0.9800000190734863
episode:25,Updates:25/50,Timesteps:5200/10000,FPS:10.0,avg_sp:-2.34,value_loss:0.02433655907710393,policy_loss:-0.09412576059500376,dist_entropy:0.3512968858083089,actor_grad_norm:0.584406852722168,critic_grad_norm:0.44675397872924805,ratio:1.0050002336502075,average_step_rewards:-0.9325000047683716
episode:26,Updates:26/50,Timesteps:5400/10000,FPS:10.0,avg_sp:-2.59,value_loss:0.023913025483489038,policy_loss:0.009162114436427752,dist_entropy:0.36585898598035177,actor_grad_norm:0.59438157081604,critic_grad_norm:0.39402052760124207,ratio:0.9926525354385376,average_step_rewards:-1.2074999809265137
episode:27,Updates:27/50,Timesteps:5600/10000,FPS:10.0,avg_sp:-2.58,value_loss:0.025637450565894445,policy_loss:-0.027914026783158383,dist_entropy:0.3155644774436951,actor_grad_norm:0.7286106944084167,critic_grad_norm:0.7476990818977356,ratio:1.0071600675582886,average_step_rewards:-1.2374999523162842
episode:28,Updates:28/50,Timesteps:5800/10000,FPS:10.0,avg_sp:-2.48,value_loss:0.0236384234080712,policy_loss:0.023956632676223912,dist_entropy:0.3589509149392446,actor_grad_norm:1.5156326293945312,critic_grad_norm:0.4153948426246643,ratio:0.959962010383606,average_step_rewards:-1.0850000381469727
episode:29,Updates:29/50,Timesteps:6000/10000,FPS:10.0,avg_sp:-2.73,value_loss:0.04768481776118279,policy_loss:-0.04393281402687232,dist_entropy:0.3408392349878947,actor_grad_norm:0.6413194537162781,critic_grad_norm:0.7646129131317139,ratio:1.011991262435913,average_step_rewards:-1.190000057220459
episode:30,Updates:30/50,Timesteps:6200/10000,FPS:10.0,avg_sp:-2.87,value_loss:0.05961956381797791,policy_loss:-0.10793816645940145,dist_entropy:0.3755287309487661,actor_grad_norm:0.8760265111923218,critic_grad_norm:0.5077669024467468,ratio:0.9956580996513367,average_step_rewards:-1.1174999475479126
episode:31,Updates:31/50,Timesteps:6400/10000,FPS:10.0,avg_sp:-2.49,value_loss:0.05748016461730003,policy_loss:-0.08220989555120468,dist_entropy:0.3442412396272024,actor_grad_norm:0.6591436266899109,critic_grad_norm:0.6114286780357361,ratio:1.0011526346206665,average_step_rewards:-1.0175000429153442
episode:32,Updates:32/50,Timesteps:6600/10000,FPS:10.0,avg_sp:-2.53,value_loss:0.02855153034130732,policy_loss:-0.17978935142358143,dist_entropy:0.33314940333366394,actor_grad_norm:0.5184434056282043,critic_grad_norm:0.9762430787086487,ratio:1.0107144117355347,average_step_rewards:-1.0499999523162842
episode:33,Updates:33/50,Timesteps:6800/10000,FPS:10.0,avg_sp:-2.45,value_loss:0.0318094273408254,policy_loss:-0.12730811884005863,dist_entropy:0.3830608129501343,actor_grad_norm:1.0478620529174805,critic_grad_norm:0.41440629959106445,ratio:1.007572889328003,average_step_rewards:-1.0199999809265137
episode:34,Updates:34/50,Timesteps:7000/10000,FPS:10.0,avg_sp:-2.33,value_loss:0.023050853982567787,policy_loss:-0.09919525434573491,dist_entropy:0.3549466848373413,actor_grad_norm:0.7511361241340637,critic_grad_norm:0.3281298875808716,ratio:0.9740429520606995,average_step_rewards:-0.9850000143051147
episode:35,Updates:35/50,Timesteps:7200/10000,FPS:10.0,avg_sp:-2.39,value_loss:0.02720416399339835,policy_loss:-0.02033055660625299,dist_entropy:0.3399657368659973,actor_grad_norm:0.7729460597038269,critic_grad_norm:0.28653576970100403,ratio:0.9795482158660889,average_step_rewards:-1.027500033378601
episode:36,Updates:36/50,Timesteps:7400/10000,FPS:10.0,avg_sp:-2.26,value_loss:0.031449365864197415,policy_loss:-0.03885871668656667,dist_entropy:0.41145009398460386,actor_grad_norm:0.7726613879203796,critic_grad_norm:0.13549384474754333,ratio:0.9830189347267151,average_step_rewards:-0.9175000190734863
episode:37,Updates:37/50,Timesteps:7600/10000,FPS:10.0,avg_sp:-2.12,value_loss:0.04296626647313436,policy_loss:-0.15574701329072316,dist_entropy:0.29281668066978456,actor_grad_norm:0.6973110437393188,critic_grad_norm:0.7428963780403137,ratio:1.0053222179412842,average_step_rewards:-0.7925000190734863
episode:38,Updates:38/50,Timesteps:7800/10000,FPS:10.0,avg_sp:-2.02,value_loss:0.028487983097632726,policy_loss:-0.054422024885813394,dist_entropy:0.33031750917434693,actor_grad_norm:0.4944598972797394,critic_grad_norm:0.4494757652282715,ratio:0.986214280128479,average_step_rewards:-0.7074999809265137
episode:39,Updates:39/50,Timesteps:8000/10000,FPS:10.0,avg_sp:-2.35,value_loss:0.029656085620323815,policy_loss:-0.17144306302070617,dist_entropy:0.3437360405921936,actor_grad_norm:0.917521595954895,critic_grad_norm:0.5100579261779785,ratio:1.014947772026062,average_step_rewards:-0.987500011920929
episode:40,Updates:40/50,Timesteps:8200/10000,FPS:10.0,avg_sp:-2.31,value_loss:0.09382133334875106,policy_loss:-0.08279774934053422,dist_entropy:0.357477068901062,actor_grad_norm:0.38594260811805725,critic_grad_norm:1.2954957485198975,ratio:0.9785807132720947,average_step_rewards:-1.100000023841858
episode:41,Updates:41/50,Timesteps:8400/10000,FPS:10.0,avg_sp:-2.18,value_loss:0.027430775016546248,policy_loss:-0.006942240350569288,dist_entropy:0.3289514482021332,actor_grad_norm:0.702129065990448,critic_grad_norm:1.1201860904693604,ratio:0.9399458169937134,average_step_rewards:-0.8475000262260437
episode:42,Updates:42/50,Timesteps:8600/10000,FPS:10.0,avg_sp:-2.16,value_loss:0.027247636889417965,policy_loss:-0.0969451442360878,dist_entropy:0.33497567375501,actor_grad_norm:0.7583268284797668,critic_grad_norm:1.643404483795166,ratio:0.9892749786376953,average_step_rewards:-1.0800000429153442
episode:43,Updates:43/50,Timesteps:8800/10000,FPS:10.0,avg_sp:-2.17,value_loss:0.042997433245182036,policy_loss:0.027931792413194975,dist_entropy:0.2976645370324453,actor_grad_norm:0.8781421780586243,critic_grad_norm:1.0502265691757202,ratio:0.9371387362480164,average_step_rewards:-1.1299999952316284
episode:44,Updates:44/50,Timesteps:9000/10000,FPS:10.0,avg_sp:-2.13,value_loss:0.027599798142910005,policy_loss:0.09338180869817733,dist_entropy:0.36926474372545876,actor_grad_norm:1.0732448101043701,critic_grad_norm:0.13477429747581482,ratio:0.9140254259109497,average_step_rewards:-1.2000000476837158
episode:45,Updates:45/50,Timesteps:9200/10000,FPS:10.0,avg_sp:-1.95,value_loss:0.21708336571852366,policy_loss:0.08566117237011592,dist_entropy:0.24740830957889556,actor_grad_norm:0.4792726933956146,critic_grad_norm:0.89994215965271,ratio:0.9940091371536255,average_step_rewards:-0.7574999928474426
episode:46,Updates:46/50,Timesteps:9400/10000,FPS:10.0,avg_sp:-2.01,value_loss:0.031587385758757594,policy_loss:-0.15969178477923077,dist_entropy:0.2898214141527812,actor_grad_norm:0.6459251046180725,critic_grad_norm:0.9896523356437683,ratio:0.9935537576675415,average_step_rewards:-0.9300000071525574
episode:47,Updates:47/50,Timesteps:9600/10000,FPS:10.0,avg_sp:-1.79,value_loss:0.04382480507095655,policy_loss:-0.029672227799892426,dist_entropy:0.2700286050637563,actor_grad_norm:0.6677321195602417,critic_grad_norm:0.9271522760391235,ratio:0.9997178316116333,average_step_rewards:-0.7475000023841858
episode:48,Updates:48/50,Timesteps:9800/10000,FPS:10.0,avg_sp:-2.09,value_loss:0.03049291583398978,policy_loss:-0.03520895019173622,dist_entropy:0.32361730535825095,actor_grad_norm:1.051581859588623,critic_grad_norm:0.9786703586578369,ratio:0.984956681728363,average_step_rewards:-0.9750000238418579
episode:49,Updates:49/50,Timesteps:10000/10000,FPS:10.0,avg_sp:-2.25,value_loss:0.031625574454665184,policy_loss:-0.04727902747690678,dist_entropy:0.3038081487019857,actor_grad_norm:0.9385116100311279,critic_grad_norm:0.6967232823371887,ratio:1.0160845518112183,average_step_rewards:-0.8424999713897705
