episode:1,Updates:1/250,Timesteps:400/50000,FPS:221.0,avg_sp:-11.732758620689655,value_loss:1.066950249671936,policy_loss:0.022736314311623575,dist_entropy:1.3861432154973348,actor_grad_norm:1.97524893283844,critic_grad_norm:14.072174072265625,ratio:1.0008704662322998,average_step_rewards:-7.505000114440918
episode:38,Updates:38/250,Timesteps:7800/50000,FPS:140.0,avg_sp:-3.1782178217821784,value_loss:0.06101389601826668,policy_loss:0.01940076667815447,dist_entropy:0.8685779611269633,actor_grad_norm:1.673515796661377,critic_grad_norm:0.4848743677139282,ratio:1.0003530979156494,average_step_rewards:-1.5525000095367432
episode:39,Updates:39/250,Timesteps:8000/50000,FPS:140.0,avg_sp:-3.35,value_loss:0.08608508706092835,policy_loss:0.025886582459012666,dist_entropy:0.843562658627828,actor_grad_norm:2.243752956390381,critic_grad_norm:0.44210827350616455,ratio:0.9974420666694641,average_step_rewards:-1.6200000047683716
episode:40,Updates:40/250,Timesteps:8200/50000,FPS:140.0,avg_sp:-3.11,value_loss:0.053382917493581775,policy_loss:0.038238208492596945,dist_entropy:0.8338975111643473,actor_grad_norm:1.411328673362732,critic_grad_norm:0.44861742854118347,ratio:1.0004057884216309,average_step_rewards:-1.4149999618530273
episode:41,Updates:41/250,Timesteps:8400/50000,FPS:139.0,avg_sp:-3.4,value_loss:0.03701083833972613,policy_loss:-0.0030094789845558504,dist_entropy:0.824909488360087,actor_grad_norm:1.6495486497879028,critic_grad_norm:0.28241124749183655,ratio:0.9997681379318237,average_step_rewards:-1.6024999618530273
episode:42,Updates:42/250,Timesteps:8600/50000,FPS:139.0,avg_sp:-3.27,value_loss:0.049741801371177036,policy_loss:-0.021632882580161095,dist_entropy:0.8154621283213298,actor_grad_norm:1.7403501272201538,critic_grad_norm:0.33484947681427,ratio:1.0001410245895386,average_step_rewards:-1.5449999570846558
episode:43,Updates:43/250,Timesteps:8800/50000,FPS:139.0,avg_sp:-2.8,value_loss:0.025030265500148138,policy_loss:0.038714115818341575,dist_entropy:0.8019043048222859,actor_grad_norm:1.0656888484954834,critic_grad_norm:0.35203006863594055,ratio:0.9994930624961853,average_step_rewards:-1.3600000143051147
episode:44,Updates:44/250,Timesteps:9000/50000,FPS:139.0,avg_sp:-3.1881188118811883,value_loss:0.021860754117369652,policy_loss:-0.016944808947543303,dist_entropy:0.8098812540372212,actor_grad_norm:0.9517964720726013,critic_grad_norm:0.2195136994123459,ratio:1.000666618347168,average_step_rewards:-1.5525000095367432
episode:45,Updates:45/250,Timesteps:9200/50000,FPS:139.0,avg_sp:-3.386138613861386,value_loss:0.06719216704368591,policy_loss:0.008096490839185814,dist_entropy:0.7844087521235148,actor_grad_norm:2.143131971359253,critic_grad_norm:0.5399590730667114,ratio:1.000748634338379,average_step_rewards:-1.7024999856948853
episode:46,Updates:46/250,Timesteps:9400/50000,FPS:139.0,avg_sp:-2.95,value_loss:0.0692508801817894,policy_loss:0.02136312834918499,dist_entropy:0.7685825665791829,actor_grad_norm:1.3252660036087036,critic_grad_norm:0.8390319347381592,ratio:1.0011836290359497,average_step_rewards:-1.409999966621399
episode:47,Updates:47/250,Timesteps:9600/50000,FPS:139.0,avg_sp:-3.24,value_loss:0.028144635011752447,policy_loss:0.006346286491801341,dist_entropy:0.7388394355773926,actor_grad_norm:1.344152569770813,critic_grad_norm:0.5597524642944336,ratio:0.9984775185585022,average_step_rewards:-1.597499966621399
episode:48,Updates:48/250,Timesteps:9800/50000,FPS:139.0,avg_sp:-2.69,value_loss:0.03967514112591743,policy_loss:-0.029923650870720544,dist_entropy:0.7560864686965942,actor_grad_norm:1.5897109508514404,critic_grad_norm:0.2894143760204315,ratio:1.0032169818878174,average_step_rewards:-1.4049999713897705
episode:49,Updates:49/250,Timesteps:10000/50000,FPS:139.0,avg_sp:-3.1,value_loss:0.04892572189370791,policy_loss:0.047321363786856335,dist_entropy:0.7641068895657858,actor_grad_norm:1.2869925498962402,critic_grad_norm:0.35498860478401184,ratio:0.9976670145988464,average_step_rewards:-1.5449999570846558
episode:50,Updates:50/250,Timesteps:10200/50000,FPS:139.0,avg_sp:-2.86,value_loss:0.0864940012494723,policy_loss:0.028273849685986837,dist_entropy:0.7407134811083476,actor_grad_norm:1.056681752204895,critic_grad_norm:0.7806198596954346,ratio:0.9999619722366333,average_step_rewards:-1.2400000095367432
episode:51,Updates:51/250,Timesteps:10400/50000,FPS:139.0,avg_sp:-2.44,value_loss:0.02404060276846091,policy_loss:-0.04305579736828804,dist_entropy:0.7283188660939535,actor_grad_norm:1.5510777235031128,critic_grad_norm:0.6433089971542358,ratio:1.0010322332382202,average_step_rewards:-1.1699999570846558
episode:52,Updates:52/250,Timesteps:10600/50000,FPS:139.0,avg_sp:-2.89,value_loss:0.019524103154738744,policy_loss:0.03632672044138114,dist_entropy:0.7440347154935201,actor_grad_norm:1.0804461240768433,critic_grad_norm:0.29278185963630676,ratio:0.9943264126777649,average_step_rewards:-1.3700000047683716
episode:53,Updates:53/250,Timesteps:10800/50000,FPS:139.0,avg_sp:-3.12,value_loss:0.033298778782288235,policy_loss:-0.01817560618122419,dist_entropy:0.7392428994178772,actor_grad_norm:1.2487990856170654,critic_grad_norm:0.5533431172370911,ratio:1.001518964767456,average_step_rewards:-1.4049999713897705
episode:54,Updates:54/250,Timesteps:11000/50000,FPS:139.0,avg_sp:-2.91,value_loss:0.04866915270686149,policy_loss:-0.016115697845816613,dist_entropy:0.697789708773295,actor_grad_norm:1.6654572486877441,critic_grad_norm:0.3171422779560089,ratio:0.9991485476493835,average_step_rewards:-1.5125000476837158
episode:55,Updates:55/250,Timesteps:11200/50000,FPS:139.0,avg_sp:-2.78,value_loss:0.062225499252478285,policy_loss:0.047114647428194684,dist_entropy:0.7216447631518046,actor_grad_norm:2.0729176998138428,critic_grad_norm:0.4608477056026459,ratio:0.9984728097915649,average_step_rewards:-1.247499942779541
episode:56,Updates:56/250,Timesteps:11400/50000,FPS:139.0,avg_sp:-2.48,value_loss:0.03459305117527644,policy_loss:0.033946697041392325,dist_entropy:0.7015480597813925,actor_grad_norm:1.689388632774353,critic_grad_norm:0.534706711769104,ratio:0.999045729637146,average_step_rewards:-1.247499942779541
episode:57,Updates:57/250,Timesteps:11600/50000,FPS:139.0,avg_sp:-2.61,value_loss:0.029385916392008462,policy_loss:-0.004689809903114414,dist_entropy:0.7007948637008667,actor_grad_norm:1.0057997703552246,critic_grad_norm:0.3355083465576172,ratio:0.9892093539237976,average_step_rewards:-1.3250000476837158
episode:58,Updates:58/250,Timesteps:11800/50000,FPS:139.0,avg_sp:-2.84,value_loss:0.041737459351619086,policy_loss:-0.014184676948934794,dist_entropy:0.714288878440857,actor_grad_norm:1.3335578441619873,critic_grad_norm:0.4838237166404724,ratio:1.002002477645874,average_step_rewards:-1.409999966621399
episode:59,Updates:59/250,Timesteps:12000/50000,FPS:138.0,avg_sp:-2.84,value_loss:0.09844853977362315,policy_loss:0.03913402607043584,dist_entropy:0.709892209370931,actor_grad_norm:1.1392810344696045,critic_grad_norm:0.5448409914970398,ratio:0.9983088374137878,average_step_rewards:-1.4950000047683716
episode:60,Updates:60/250,Timesteps:12200/50000,FPS:138.0,avg_sp:-2.98,value_loss:0.1068730816245079,policy_loss:0.03864070698618889,dist_entropy:0.6670061349868774,actor_grad_norm:1.715053677558899,critic_grad_norm:0.509375274181366,ratio:0.9980372190475464,average_step_rewards:-1.3049999475479126
episode:61,Updates:61/250,Timesteps:12400/50000,FPS:138.0,avg_sp:-2.44,value_loss:0.046885255724191666,policy_loss:-0.01555725500608484,dist_entropy:0.6656601548194885,actor_grad_norm:1.2628730535507202,critic_grad_norm:0.4151158630847931,ratio:0.9981459379196167,average_step_rewards:-1.1399999856948853
episode:62,Updates:62/250,Timesteps:12600/50000,FPS:138.0,avg_sp:-2.47,value_loss:0.017692767704526585,policy_loss:0.01940601294239362,dist_entropy:0.6684200406074524,actor_grad_norm:1.3181002140045166,critic_grad_norm:0.2572701573371887,ratio:0.9960429668426514,average_step_rewards:-1.3125
episode:63,Updates:63/250,Timesteps:12800/50000,FPS:138.0,avg_sp:-3.17,value_loss:0.08487082322438558,policy_loss:0.0315451841801405,dist_entropy:0.6358765999476115,actor_grad_norm:2.0045087337493896,critic_grad_norm:0.6428273916244507,ratio:0.9978616237640381,average_step_rewards:-1.6649999618530273
episode:64,Updates:64/250,Timesteps:13000/50000,FPS:138.0,avg_sp:-2.55,value_loss:0.10291988303263983,policy_loss:0.014357684801022211,dist_entropy:0.6508238514264425,actor_grad_norm:1.5999407768249512,critic_grad_norm:1.099356770515442,ratio:1.007246494293213,average_step_rewards:-1.152500033378601
episode:65,Updates:65/250,Timesteps:13200/50000,FPS:138.0,avg_sp:-2.65,value_loss:0.024805213759342828,policy_loss:-0.022764784470200538,dist_entropy:0.6104830861091614,actor_grad_norm:1.2865607738494873,critic_grad_norm:1.1391832828521729,ratio:0.9994918704032898,average_step_rewards:-1.315000057220459
episode:66,Updates:66/250,Timesteps:13400/50000,FPS:138.0,avg_sp:-2.77,value_loss:0.02013117658595244,policy_loss:0.019379825020829838,dist_entropy:0.594413681825002,actor_grad_norm:1.1562920808792114,critic_grad_norm:0.8985641598701477,ratio:0.9969766139984131,average_step_rewards:-1.190000057220459
episode:67,Updates:67/250,Timesteps:13600/50000,FPS:138.0,avg_sp:-2.38,value_loss:0.04004467676083247,policy_loss:-0.0201160895327727,dist_entropy:0.5964317917823792,actor_grad_norm:0.9887639880180359,critic_grad_norm:0.7148227095603943,ratio:0.9996532201766968,average_step_rewards:-1.1425000429153442
episode:68,Updates:68/250,Timesteps:13800/50000,FPS:138.0,avg_sp:-2.23,value_loss:0.020191480591893195,policy_loss:0.018122319504618643,dist_entropy:0.5886368115743001,actor_grad_norm:1.3333293199539185,critic_grad_norm:0.35362550616264343,ratio:0.9959838390350342,average_step_rewards:-1.0674999952316284
episode:69,Updates:69/250,Timesteps:14000/50000,FPS:138.0,avg_sp:-2.29,value_loss:0.020682689920067786,policy_loss:-0.007947137594843905,dist_entropy:0.5729145288467408,actor_grad_norm:1.235503077507019,critic_grad_norm:0.22732268273830414,ratio:0.9993187189102173,average_step_rewards:-1.0625
episode:70,Updates:70/250,Timesteps:14200/50000,FPS:138.0,avg_sp:-2.68,value_loss:0.043274447321891785,policy_loss:-0.02891483555237452,dist_entropy:0.5524075786272685,actor_grad_norm:1.304876685142517,critic_grad_norm:0.28245505690574646,ratio:0.9958726763725281,average_step_rewards:-1.3025000095367432
episode:71,Updates:71/250,Timesteps:14400/50000,FPS:138.0,avg_sp:-2.59,value_loss:0.09866774181524912,policy_loss:0.023859675725301108,dist_entropy:0.5256748636563618,actor_grad_norm:1.5429662466049194,critic_grad_norm:0.6603595614433289,ratio:0.9982592463493347,average_step_rewards:-1.2274999618530273
episode:72,Updates:72/250,Timesteps:14600/50000,FPS:138.0,avg_sp:-2.59,value_loss:0.023314880952239037,policy_loss:0.03677740270892779,dist_entropy:0.532988174756368,actor_grad_norm:0.9922548532485962,critic_grad_norm:0.3709881007671356,ratio:0.9950469732284546,average_step_rewards:-1.2100000381469727
episode:73,Updates:73/250,Timesteps:14800/50000,FPS:138.0,avg_sp:-2.891089108910891,value_loss:0.023206537713607152,policy_loss:-0.024021604905525844,dist_entropy:0.5420561075210572,actor_grad_norm:1.1086180210113525,critic_grad_norm:0.1875401884317398,ratio:0.9871671199798584,average_step_rewards:-1.3875000476837158
episode:74,Updates:74/250,Timesteps:15000/50000,FPS:138.0,avg_sp:-2.54,value_loss:0.11770753363768259,policy_loss:-0.00425664751091972,dist_entropy:0.527729618549347,actor_grad_norm:2.166368246078491,critic_grad_norm:0.7466437220573425,ratio:1.000274896621704,average_step_rewards:-1.1299999952316284
episode:75,Updates:75/250,Timesteps:15200/50000,FPS:138.0,avg_sp:-2.43,value_loss:0.03437503725290299,policy_loss:-0.011185371379057566,dist_entropy:0.5075219531853994,actor_grad_norm:1.5132380723953247,critic_grad_norm:0.4867495596408844,ratio:0.9988791942596436,average_step_rewards:-1.1425000429153442
episode:76,Updates:76/250,Timesteps:15400/50000,FPS:138.0,avg_sp:-2.46,value_loss:0.018311127771933874,policy_loss:-0.02187074770530065,dist_entropy:0.4887607971827189,actor_grad_norm:1.2531555891036987,critic_grad_norm:0.24826298654079437,ratio:0.9986871480941772,average_step_rewards:-1.1449999809265137
episode:77,Updates:77/250,Timesteps:15600/50000,FPS:138.0,avg_sp:-2.46,value_loss:0.051568595816691716,policy_loss:-0.0011448030398848155,dist_entropy:0.4668783207734426,actor_grad_norm:1.5652484893798828,critic_grad_norm:0.22318118810653687,ratio:0.9988172054290771,average_step_rewards:-1.1325000524520874
episode:78,Updates:78/250,Timesteps:15800/50000,FPS:138.0,avg_sp:-2.66,value_loss:0.02494235560297966,policy_loss:-0.025572890664140382,dist_entropy:0.4715639889240265,actor_grad_norm:1.3633201122283936,critic_grad_norm:0.21691575646400452,ratio:0.9963415861129761,average_step_rewards:-1.2725000381469727
episode:79,Updates:79/250,Timesteps:16000/50000,FPS:138.0,avg_sp:-2.71,value_loss:0.04645728940765063,policy_loss:0.0007973567274651335,dist_entropy:0.4773707191149394,actor_grad_norm:1.0898257493972778,critic_grad_norm:0.3140382766723633,ratio:0.995498776435852,average_step_rewards:-1.1775000095367432
episode:80,Updates:80/250,Timesteps:16200/50000,FPS:138.0,avg_sp:-2.23,value_loss:0.05934249510367711,policy_loss:-0.013093498240535458,dist_entropy:0.47183036208152773,actor_grad_norm:1.3802300691604614,critic_grad_norm:0.3337363600730896,ratio:0.9979762434959412,average_step_rewards:-1.0800000429153442
episode:81,Updates:81/250,Timesteps:16400/50000,FPS:138.0,avg_sp:-2.3,value_loss:0.013484958993891875,policy_loss:0.030195208763082824,dist_entropy:0.4571039875348409,actor_grad_norm:1.0209786891937256,critic_grad_norm:0.18229728937149048,ratio:0.9954554438591003,average_step_rewards:-1.0549999475479126
episode:82,Updates:82/250,Timesteps:16600/50000,FPS:138.0,avg_sp:-2.43,value_loss:0.017496176064014435,policy_loss:-0.034169959649443624,dist_entropy:0.46286160349845884,actor_grad_norm:1.2477531433105469,critic_grad_norm:0.10918530076742172,ratio:1.0025198459625244,average_step_rewards:-1.152500033378601
episode:83,Updates:83/250,Timesteps:16800/50000,FPS:138.0,avg_sp:-2.83,value_loss:0.018323057517409324,policy_loss:-0.009633559062300871,dist_entropy:0.4804616510868073,actor_grad_norm:1.2359319925308228,critic_grad_norm:0.20836783945560455,ratio:1.003629207611084,average_step_rewards:-1.2625000476837158
episode:84,Updates:84/250,Timesteps:17000/50000,FPS:138.0,avg_sp:-2.62,value_loss:0.029992774749795597,policy_loss:-0.029953509817520776,dist_entropy:0.4921070098876953,actor_grad_norm:1.3265149593353271,critic_grad_norm:0.12761178612709045,ratio:0.9954648613929749,average_step_rewards:-1.2825000286102295
episode:85,Updates:85/250,Timesteps:17200/50000,FPS:138.0,avg_sp:-2.42,value_loss:0.021756466974814734,policy_loss:0.003004410476811851,dist_entropy:0.4701733231544495,actor_grad_norm:1.4429713487625122,critic_grad_norm:0.2892785370349884,ratio:0.9952744841575623,average_step_rewards:-1.1475000381469727
episode:86,Updates:86/250,Timesteps:17400/50000,FPS:138.0,avg_sp:-2.02,value_loss:0.026169960324962934,policy_loss:0.005966685893266307,dist_entropy:0.49265807271003725,actor_grad_norm:0.9566174149513245,critic_grad_norm:0.6080816388130188,ratio:0.9979792833328247,average_step_rewards:-0.9275000095367432
episode:87,Updates:87/250,Timesteps:17600/50000,FPS:138.0,avg_sp:-2.23,value_loss:0.026153471072514853,policy_loss:0.009472269952918092,dist_entropy:0.43544983069101967,actor_grad_norm:1.2219334840774536,critic_grad_norm:0.279047429561615,ratio:0.9975336194038391,average_step_rewards:-1.0399999618530273
episode:88,Updates:88/250,Timesteps:17800/50000,FPS:138.0,avg_sp:-2.24,value_loss:0.02326778918504715,policy_loss:-0.0466727373500665,dist_entropy:0.4470035552978516,actor_grad_norm:0.7558364868164062,critic_grad_norm:0.3546487092971802,ratio:0.9998735785484314,average_step_rewards:-1.1299999952316284
