episode:1,Updates:1/50,Timesteps:400/10000,FPS:396.0,avg_score:-6.041817851959362,avg_xp0:-5.9326923076923075,avg_xp1:-6.150943396226415,value_loss:1.7308199107646942,policy_loss:-0.11741206081933342,dist_entropy:2.7468926588694256,actor_grad_norm:3.400961422920227,critic_grad_norm:22.399838264783224,ratio:2.0060423016548157
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:303.0,avg_score:-2.025,avg_xp0:-1.79,avg_xp1:-2.26,value_loss:0.2151228129863739,policy_loss:-0.014510887768119573,dist_entropy:1.1130239446957906,actor_grad_norm:1.4125565946102143,critic_grad_norm:1.5616999467213948,ratio:1.9840779463450113
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:302.0,avg_score:-1.925,avg_xp0:-1.83,avg_xp1:-2.02,value_loss:0.07448174419502417,policy_loss:-0.059454322000965475,dist_entropy:1.0832386891047159,actor_grad_norm:1.9691890637079874,critic_grad_norm:1.589048061768214,ratio:1.9494789004325868
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:301.0,avg_score:-1.805,avg_xp0:-1.93,avg_xp1:-1.68,value_loss:0.10531796341141066,policy_loss:-0.0743359565618448,dist_entropy:1.035664172967275,actor_grad_norm:1.5408808946609498,critic_grad_norm:1.44633087515831,ratio:1.9835919260978698
episode:15,Updates:15/50,Timesteps:3200/10000,FPS:300.0,avg_score:-1.94,avg_xp0:-2.04,avg_xp1:-1.84,value_loss:0.16838237618406612,policy_loss:0.008251530457831299,dist_entropy:0.9146923005580903,actor_grad_norm:1.4737059513727824,critic_grad_norm:1.663563032944997,ratio:1.9890979329744976
episode:16,Updates:16/50,Timesteps:3400/10000,FPS:299.0,avg_score:-1.9100000000000001,avg_xp0:-1.72,avg_xp1:-2.1,value_loss:0.17497847080230713,policy_loss:-0.019149223718462356,dist_entropy:0.8660257856051127,actor_grad_norm:0.9788800160090129,critic_grad_norm:3.417449649175008,ratio:1.9795378883679708
episode:17,Updates:17/50,Timesteps:3600/10000,FPS:298.0,avg_score:-2.0149999999999997,avg_xp0:-1.96,avg_xp1:-2.07,value_loss:0.0796823705236117,policy_loss:-0.04545543903950602,dist_entropy:0.8340911726156871,actor_grad_norm:1.4877213478088378,critic_grad_norm:1.9031769275665282,ratio:2.002143442630768
episode:18,Updates:18/50,Timesteps:3800/10000,FPS:298.0,avg_score:-2.06,avg_xp0:-1.84,avg_xp1:-2.28,value_loss:0.08942526206374168,policy_loss:-0.04807957937785735,dist_entropy:0.75441654920578,actor_grad_norm:1.7124961018562317,critic_grad_norm:1.2742987771828969,ratio:1.9768300493558248
episode:19,Updates:19/50,Timesteps:4000/10000,FPS:298.0,avg_score:-1.865,avg_xp0:-1.97,avg_xp1:-1.76,value_loss:0.23824293712774913,policy_loss:-0.022176261781714855,dist_entropy:0.7448350628217061,actor_grad_norm:1.4304624597231548,critic_grad_norm:3.4760586152474087,ratio:1.9857384840647379
episode:20,Updates:20/50,Timesteps:4200/10000,FPS:297.0,avg_score:-1.7850000000000001,avg_xp0:-1.8,avg_xp1:-1.77,value_loss:0.11308278242746989,policy_loss:-0.06696600218613942,dist_entropy:0.7263386408487956,actor_grad_norm:1.3477787574132283,critic_grad_norm:2.0787302831808727,ratio:1.9772679646809896
episode:21,Updates:21/50,Timesteps:4400/10000,FPS:297.0,avg_score:-1.85,avg_xp0:-1.92,avg_xp1:-1.78,value_loss:0.08338468198974927,policy_loss:0.001773023116402328,dist_entropy:0.628557825088501,actor_grad_norm:2.1865514119466147,critic_grad_norm:0.9978079954783122,ratio:1.9818068544069927
episode:22,Updates:22/50,Timesteps:4600/10000,FPS:297.0,avg_score:-1.845,avg_xp0:-1.7,avg_xp1:-1.99,value_loss:0.10261455401778222,policy_loss:-0.003143582993167608,dist_entropy:0.5938978791236877,actor_grad_norm:1.2241397698720295,critic_grad_norm:1.4296106278896332,ratio:1.9885231216748556
episode:23,Updates:23/50,Timesteps:4800/10000,FPS:297.0,avg_score:-1.76,avg_xp0:-2.06,avg_xp1:-1.46,value_loss:0.19333917771776518,policy_loss:-0.018538782957087583,dist_entropy:0.6161117792129517,actor_grad_norm:1.344557778040568,critic_grad_norm:2.9945737302303312,ratio:1.9678326010704041
episode:24,Updates:24/50,Timesteps:5000/10000,FPS:296.0,avg_score:-1.8346039603960396,avg_xp0:-2.0792079207920793,avg_xp1:-1.59,value_loss:0.218094356606404,policy_loss:-0.0461300170092727,dist_entropy:0.6374878247578939,actor_grad_norm:1.5235383907953899,critic_grad_norm:2.7798143565654754,ratio:1.9921112497647604
episode:25,Updates:25/50,Timesteps:5200/10000,FPS:296.0,avg_score:-1.7650000000000001,avg_xp0:-1.56,avg_xp1:-1.97,value_loss:0.35535030215978625,policy_loss:-0.007725340046454221,dist_entropy:0.6131221294403076,actor_grad_norm:2.0783704002698262,critic_grad_norm:4.102217268943787,ratio:1.9796704014142354
episode:26,Updates:26/50,Timesteps:5400/10000,FPS:296.0,avg_score:-1.9849999999999999,avg_xp0:-1.97,avg_xp1:-2.0,value_loss:0.11131449614961943,policy_loss:0.000818927384292086,dist_entropy:0.595004278421402,actor_grad_norm:1.5857147852579752,critic_grad_norm:2.2860205372174582,ratio:1.9438338120778402
episode:27,Updates:27/50,Timesteps:5600/10000,FPS:295.0,avg_score:-1.79,avg_xp0:-1.7,avg_xp1:-1.88,value_loss:0.2404588480790456,policy_loss:0.018359692745715014,dist_entropy:0.57896795074145,actor_grad_norm:1.4890674948692322,critic_grad_norm:1.8413238366444906,ratio:2.0019389271736143
episode:28,Updates:28/50,Timesteps:5800/10000,FPS:295.0,avg_score:-2.015,avg_xp0:-2.2,avg_xp1:-1.83,value_loss:0.2273991805811723,policy_loss:-0.020457549744363254,dist_entropy:0.5468475043773651,actor_grad_norm:0.9097048997879028,critic_grad_norm:1.535323608915011,ratio:1.9881184776624043
episode:29,Updates:29/50,Timesteps:6000/10000,FPS:295.0,avg_score:-1.5899999999999999,avg_xp0:-1.63,avg_xp1:-1.55,value_loss:0.38425168494383494,policy_loss:0.00011400983591253559,dist_entropy:0.5090774556001028,actor_grad_norm:2.5524675289789838,critic_grad_norm:2.35391973455747,ratio:1.979394809405009
episode:30,Updates:30/50,Timesteps:6200/10000,FPS:295.0,avg_score:-1.87,avg_xp0:-2.13,avg_xp1:-1.61,value_loss:0.1029682219028473,policy_loss:-0.021333016268908978,dist_entropy:0.5093155453602473,actor_grad_norm:1.8148806730906168,critic_grad_norm:1.5702865024407704,ratio:1.9962326606114706
episode:31,Updates:31/50,Timesteps:6400/10000,FPS:295.0,avg_score:-1.875,avg_xp0:-1.96,avg_xp1:-1.79,value_loss:0.25406800558169684,policy_loss:-0.053206324204802515,dist_entropy:0.47810466488202413,actor_grad_norm:1.0114299376805624,critic_grad_norm:1.9549333095550536,ratio:1.964609432220459
episode:32,Updates:32/50,Timesteps:6600/10000,FPS:295.0,avg_score:-1.9249999999999998,avg_xp0:-1.9,avg_xp1:-1.95,value_loss:0.12639051775137583,policy_loss:-0.0230424517688031,dist_entropy:0.5320410092671712,actor_grad_norm:1.595176378885905,critic_grad_norm:1.8281216084957124,ratio:1.984055495262146
episode:33,Updates:33/50,Timesteps:6800/10000,FPS:295.0,avg_score:-1.925,avg_xp0:-1.98,avg_xp1:-1.87,value_loss:0.25535916462540625,policy_loss:-0.003977258404484018,dist_entropy:0.5037368555863698,actor_grad_norm:1.636074995994568,critic_grad_norm:1.617988799015681,ratio:2.0016416947046918
episode:34,Updates:34/50,Timesteps:7000/10000,FPS:294.0,avg_score:-1.9449999999999998,avg_xp0:-1.95,avg_xp1:-1.94,value_loss:0.10951284542679787,policy_loss:-0.02931915197211007,dist_entropy:0.44683176080385845,actor_grad_norm:1.5043084422747295,critic_grad_norm:2.0005785882472993,ratio:1.964072064558665
episode:35,Updates:35/50,Timesteps:7200/10000,FPS:294.0,avg_score:-1.67,avg_xp0:-1.81,avg_xp1:-1.53,value_loss:0.45262925028800965,policy_loss:-0.021240934585997216,dist_entropy:0.5123176028331121,actor_grad_norm:1.36243284145991,critic_grad_norm:3.4983556151390074,ratio:1.994360864162445
